id_estilo,estilo,id_tipo_calzado
E001,"Air Max Bella",D
E002,"Court Vision Low Mujer",D
E003,"Nike Zoom Bella",D
E004,"Air Max Dia",D
E005,"Nike Venture Runner Mujer",D
E006,"Air Max 90",C
E007,"Air Force 1",C
E008,"Nike Blazer Mid",C
E009,"Air Max Impact",C
E010,"Nike Court Legacy",C
E011,"Nike Waffle One",U
E012,"Air Max 2090",U
E013,"Nike Air Rift",U
E014,"Nike Gamma Force",U
E015,"Nike Cortez",U
E016,"Nike Pegasus 40",R
E017,"Nike Infinity Run 3",R
E018,"Nike Zoom Fly 5",R
E019,"Nike Vomero 17",R
E020,"Nike Downshifter 12",R
