ticket,item,id_estilo,id_medida,cantidad,precio_venta,venta_item,costo_venta,utilidad
1001,1,E006,025,1,2899.0000,2899.0000,1700.0000,1199.0000
1002,1,E003,025,1,2399.0000,2399.0000,1500.0000,899.0000
1003,1,E007,027,1,2999.0000,2999.0000,1800.0000,1199.0000
1004,1,E002,026,1,2299.0000,2299.0000,1450.0000,849.0000
1005,1,E004,027,1,2499.0000,2499.0000,1550.0000,949.0000
1006,1,E019,027,1,3399.0000,3399.0000,2100.0000,1299.0000
1007,1,E017,026,1,3099.0000,3099.0000,1850.0000,1249.0000
1008,1,E014,025,1,2799.0000,2799.0000,1650.0000,1149.0000
1009,1,E005,028,1,2599.0000,2599.0000,1600.0000,999.0000
1010,1,E018,029,1,3299.0000,3299.0000,2000.0000,1299.0000
1011,1,E011,025,1,2499.0000,2499.0000,1500.0000,999.0000
1012,1,E014,026,1,2799.0000,2799.0000,1650.0000,1149.0000
1013,1,E001,028,1,2199.0000,2199.0000,1400.0000,799.0000
1014,1,E012,027,1,2599.0000,2599.0000,1550.0000,1049.0000
1015,1,E015,025,1,2899.0000,2899.0000,1700.0000,1199.0000
1016,1,E007,028,1,2999.0000,2999.0000,1800.0000,1199.0000
1017,1,E010,027,1,2699.0000,2699.0000,1600.0000,1099.0000
1018,1,E015,029,1,2899.0000,2899.0000,1700.0000,1199.0000
1019,1,E003,026,1,2399.0000,2399.0000,1500.0000,899.0000
1020,1,E017,025,1,3099.0000,3099.0000,1850.0000,1249.0000
1021,1,E001,025,1,2199.0000,2199.0000,1400.0000,799.0000
1022,1,E004,026,1,2499.0000,2499.0000,1550.0000,949.0000
1023,1,E003,029,1,2399.0000,2399.0000,1500.0000,899.0000
1024,1,E014,028,1,2799.0000,2799.0000,1650.0000,1149.0000
1025,1,E018,026,1,3299.0000,3299.0000,2000.0000,1299.0000
1026,1,E006,027,1,2899.0000,2899.0000,1700.0000,1199.0000
1027,1,E010,028,1,2699.0000,2699.0000,1600.0000,1099.0000
1028,1,E001,026,1,2199.0000,2199.0000,1400.0000,799.0000
1029,1,E012,025,1,2599.0000,2599.0000,1550.0000,1049.0000
1030,1,E013,027,1,2699.0000,2699.0000,1600.0000,1099.0000
1031,1,E001,025,3,2199.0,6597.0,4200.0,2397.0
1032,1,E010,025,1,2699.0,2699.0,1600.0,1099.0
1033,1,E015,025,1,2499.0,2499.0,1250.0,1249.0
1033,2,E001,026,2,2899.0,5798.0,2900.0,2898.0
