ticket,fecha_venta,id_local,venta_ticket
1001,2020-06-12,1,2899.0
1002,2020-06-25,1,2399.0
1003,2020-07-03,1,2999.0
1004,2020-07-28,1,2299.0
1005,2020-08-10,1,2499.0
1006,2020-08-29,1,3399.0
1007,2020-09-14,1,3099.0
1008,2020-10-02,1,2799.0
1009,2020-11-18,1,2599.0
1010,2020-12-05,1,3299.0
1011,2020-06-22,2,2499.0
1012,2020-07-15,2,2799.0
1013,2020-08-04,2,2299.0
1014,2020-09-19,2,2599.0
1015,2020-10-27,2,2899.0
1016,2020-07-11,3,2999.0
1017,2020-08-21,3,2699.0
1018,2020-09-07,3,2899.0
1019,2020-10-13,3,2599.0
1020,2020-12-02,3,3099.0
1021,2021-07-29,4,2199.0
1022,2021-09-01,4,2499.0
1023,2021-10-25,4,2399.0
1024,2021-12-17,4,2699.0
1025,2021-01-14,4,2799.0
1026,2021-08-09,5,2899.0
1027,2021-09-28,5,2599.0
1028,2021-11-06,5,2299.0
1029,2021-01-03,5,2499.0
1030,2021-02-22,5,2699.0
1031,2020-11-26,1,6597.0
1032,2020-12-05,1,2699.0
1033,2021-01-15,1,8297.0
1034,2021-02-10,1,6798.0
1035,2025-11-26 22:44:54,1,2899.0
